,Apellido,Nombre,Instituto,Tipo,Titulo,Resumen,Cargo,Prefijo,CHOP,WL,Pregen
82,Sandoval Vel\'asquez,Andr\'es Libardo,Universidad Nacional de Colombia,F - Sistemas Planetarios y Bioastronom\'ia,Modelamiento y comparaci\'on de los proceso de formaci\'on de los meteoritos HED y de los basaltos de la dorsal meso-oce\'anica Kolbeinsy (Islandia),"Vesta es un asteroide ubicado en el cintur\'on de asteroides, es el segundo objeto con m\'as masa de dicho cintur\'on. Se cree que Vesta perdi\'o cerca del 1 % de su masa en un impacto ocurrido hace menos de mil millones de a\~nos. Muchos fragmentos de dicho impacto, conocidos como meteoritos HED, han chocado con la Tierra, constituyendo una fuente de informaci\'on sobre el asteroide. Dada su composici\'on, los meteoritos HED se pueden comparar con ciertas rocas (basaltos) encontradas en la superficie de la Tierra, especialmente aquellas formadas en las dorsales meso-oce\'anicas como la dorsal Kolbeinsy en Islandia .Por tanto, se desarroll\'o un proyecto con el objetivo de analizar, discutir y por ende comparar algunos aspectos de las mencionados cuerpos rocosos, tales como su mineralog\'ia y geoqu\'imica para reproducir los procesos magm\'aticos que permitieron su formaci\'on.",Estudiante de Pregrado,Sr., Poster,0,o
83,Santos,Diana Catalina,Universidad Distrital Francisco Jos\'e de Caldas,"C - Educaci\'on, Divulgaci\'on y Herencia",HERRAMIENTAS T\'ECNICAS Y DID\'ACTICAS PARA EL AN\'ALISIS ESPECTRAL DE NEBULOSAS PLANETARIAS,"En este documento se describe el desarrollo e implementaci\'on de una propuesta metodol\'ogica para la ense\~nanza de la Espectroscopia Estelar con profesores de F\'isica en formaci\'on inicial, orientada bajo el aprendizaje basado en problemas (ABP). Se muestra inicialmente una indagaci\'on documental sobre los referentes te\'oricos necesarios para el dise\~no de una secuencia did\'actica, los cuales permitieron definir las categor\'ias de dicha secuencia que fue implementada con ocho estudiantes de la licenciatura en F\'isica de la Universidad Distrital Francisco Jos\'e de Caldas y ocho estudiantes de la licenciatura en F\'isica de la Universidad Pedag\'ogica Nacional, en total 16 estudiantes. Se describe de forma detallada las etapas de realizaci\'on de la propuesta, donde se emplea el telescopio remoto de la Universidad de la Punta y el Applet Planetary Nebula Spectra y se muestras los resultados y an\'alisis obtenidos a partir de la implementaci\'on de la propuesta.",Estudiante de Maestr\'ia,Sra., Poster,0,a
84,Sarmiento Cano,Christian Andr\'es,Universidad Industrial de Santander,"B - Instalaciones, Tecnolog\'ias y Ciencia de Datos, D - Fen\'omenos de Altas Energ\'ias y F\'isica Fundamental",An\'alisis del flujo de Rayos C\'osmicos entre los a\~nos 2010-2012 en la estaci\'on LAGO-Chacaltaya,"Se presentar\'a el an\'alisis de datos de 3 a\~nos de recolecci\'on de tres WCD de la colaboraci\'on LAGO, ubicados Chacaltaya, Bolivia. Se revis\'o el flujo de part\'iculas en los detectores, se hallo inconsistencias; adem\'as se corrigi\'o efectos atmosf\'ericos. Se realiz\'o un an\'alisis en b\'usqueda de eventos transitorios, y se hall\'o dos posibles candidatos GRB. Adem\'as, se explor\'o la coincidencia con observaciones satelitales. Tambi\'en se presenta un an\'alisis Sideral y Solar para rastrear eventos peri\'odicos.",Estudiante de Maestr\'ia,Sr.,a Conferencia,1,o
85,Serna Qui\~nones,Javier,Universidad del Valle,"G - Estrellas y F\'isica Estelar, H - Materia Interestelar y Universo Local",Estudiando la parte central del c\'umulo ALESSI 21,"En este trabajo estudiamos el c\'umulo estelar ALESSI 21 (edad ~30 millones de a\~nos) a trav\'es de fotometr\'ia en los filtros V, R, I del instrumento OSMOS acoplado al telescopio de 2.4m del observatorio MDM (Kitt Peak, Arizona). Se realiza una b\'usqueda de candidatas fotom\'etricas y se determina la regi\'on de pertenencia de las estrellas observadas en el c\'umulo ALESSI 21 mediante la construcci\'on de diagramas de color-color y color-magnitud, abarcando 20 minutos de arco en di\'ametro.",Estudiante de Pregrado,Sr., Poster,0,o
86,Slater Clement,Roy Lawrence,Universidad de Concepcion,"H - Materia Interestelar y Universo Local, I - Galaxias y Cosmolog\'ia",Preliminary Results of Molecular Gas in the inner kiloparsecs of Nearby Seyferts with ALMA,"Previous imaging studies have revealed a correlation between the presence of dusty nuclear spirals at scales of hundred of parsecs and nuclear activity in galaxies, suggesting that such structures trace the feeding flow to the nuclear supermassive black hole (SMBH). In addition, studies of ionized gas and hot (2000 K) molecular gas kinematics using integral field units (IFU) in nearby active galaxies, have revealed inflows with velocities of _ 50 km s _1 along the dusty spirals. Nevertheless, the mass flow rates in these gas phases are usually small (10 _4 _ 10 _3 M yr _1 ) and interpreted to be only the –hot skin” of a much larger gas reservoir and flow _ which should be dominated by cold molecular gas. Giving this, ALMA becomes in the ideal instrument to map both the spatial distribution and kinematics of this cold molecular gas in order to quantify the actual inflows at the same scale probed by the optical and near-IR observations.",Estudiante de Doctorado,Sr.,a Conferencia,1,o
87,Solis Gonzalez,Enzo Leon,Universidad Del Atl\'antico,I - Galaxias y Cosmolog\'ia,Dark energy model with a Gauss-Bonnet coupling to a vector field,"In this work a vector-tensor model of dark energy has been considered, in order to study if it can to reproduce the cosmological observations related to the accelerated expansion of the universe at late times. The differential equations of the dynamical system and essential parameters such as w(z) and H(z) were obtained. In w(z) and H(z) were found a total dependence of the free parameter , which responsible for the coupling of Gauss-Bonnet invariant to the vector field A(z), thus demonstrating, the importance of the coupling for the dynamics of the model. The parameters w(z) y H(z) were compared to the experimental data in a qualitative way, showing that the model can reproduce the accelerated expansion of the universe at late time and fit the experimental data for H(z)",Estudiante de Pregrado,Sr., Poster,0,o
88,Su\'arez Cort\'es,\'Alvaro Daniel ,Universidad Nacional de Colombia ,F - Sistemas Planetarios y Bioastronom\'ia,Cr\'ateres de impacto en el Sistema Solar,"Los cr\'ateres de impacto son los rasgos morfol\'ogicos m\'as destacados sobre la superficie de diversos cuerpos en el sistema solar, son originados por los choques de meteoritos, los cuales se convierten en los principales agentes modeladores de las superficies s\'olidas. 
La morfolog\'ia del cr\'ater y la distribuci\'on del material eyectado dependen de la energ\'ia liberada, las caracter\'isticas f\'isicas de los cuerpos y el \'angulo de incidencia en el momento del impacto. La caracterizaci\'on de los cr\'ateres de impacto en el Planeta Tierra y en cuerpos del sistema solar, brindan par\'ametros que permiten el entendimiento de la din\'amica del emplazamiento del material de eyecta en diversas condiciones.",Estudiante de Pregrado,Sr., Poster,0,o
89,Su\'arez Dur\'an,Mauricio,Universidad Industrial de Santander / Grupo de Investigaci\'on en Relatividad y Gravitaci\'on,"D - Fen\'omenos de Altas Energ\'ias y F\'isica Fundamental, E - El Sol y la Heli\'osfera",Efectos de la din\'amica del campo geomagn\'etico sobre el flujo de radiaci\'on c\'osmica a nivel del suelo,"El programa clima espacial LAGO tiene como objeto estudiar los efectos de fen\'omenos solares transitorios y de largo plazo sobre el registro de radiaci\'on a nivel del suelo, usando datos medidos del flujo de part\'iculas secundarias en los detectores de la red de estaciones LAGO. Se describe la metodolog\'ia empleada para integrar la influencia de la din\'amica del campo geomagn\'etico sobre el flujo de secundarios y los resultados del estudio del Forbush Decrease registrado en marzo de 2012.",Estudiante de Doctorado,Sr.,a Conferencia/Poster,2,o
90,Torres Celis,Jorge Andres,Grupo de Ciencias Planetarias y Astrobiolog\'ia TITAN Universidad Nacional de Colombia,"C - Educaci\'on, Divulgaci\'on y Herencia",La Producci\'on Literaria en el Genero de la Ciencia Ficci\'on como herramienta para la ense\~nanza de las Ciencias Planetarias en Colombia,"Buena parte de la innovaci\'on en ciencia y tecnolog\'ia con la que se cuenta en la actualidad ha sido obtenida gracias a la visi\'on de algunos seres humanos que han tratado de encontrar respuestas a m\'ultiples preguntas que nos hemos formulado, parte de la visi\'on de estas personas se ha condensado en producci\'on literaria y audiovisual dentro del g\'enero de la ciencia ficci\'on. Esto ha sido de vital importancia ya que estas ideas han servido para innovar y para creer que se pueden expandir nuestros horizontes es as\'i como la ciencia ficci\'on puede jugar un papel importante en los temas relacionados a las ciencias planetarias especialmente en dos subg\'eneros como lo son la ciencia ficci\'on dura y el space opera que son muy cercanos a esta; ya que un factor importante es que el conocimiento cient\'ifico sea divulgable la producci\'on literaria de ciencia ficci\'on es una opci\'on atractiva de difusi\'on del conocimiento cient\'ifico para la comunidad de una manera simplificada, atractiva y din\'amica.",Estudiante de Pregrado,Sr., Poster,0,o
91,Torres Su\'arez,Sergio Andr\'es,Universidad Nacional de Colombia,D - Fen\'omenos de Altas Energ\'ias y F\'isica Fundamental,Propiedades M\'etricas de Sistemas Rotantes Relativistas con Simetr\'ia Axial,"Se presenta una discusi\'on comparativa acerca de la medici\'on de intervalos espaciales y temporales en el marco de la Relatividad Especial aplicada a sistemas de referencia rotantes relativistas con velocidad angular constante, comenzando con la noci\'on de longitud de arco en el sistema rotante K, llevando \'esto a una caracterizaci\'on no-euclidiana de la geometr\'ia espacial de dicho sistema.
Luego, se extender\'a la noci\'on de tiempo propio en Relatividad Espacial a la correspondiente definici\'on de tiempo propio sobre el sistema rotante K. Adicionalmente se introduce la noci\'on de tiempo natural para recuperar la constancia de la velocidad de la luz para todos los observadores sobre K. 
Se propone una perturbaci\'on a la m\'etrica del sistema rotante como un potencial gravitacional. 
Finalmente, se discuten posibles teor\'ias f\'isicas relativistas m\'as all\'a de la Relatividad General.",Estudiante de Maestr\'ia,Sr., Poster,0,o
92,Tovar,David,University of Minnesota / Grupo de Ciencias y Astrobiolog\'ia - TITAN,F - Sistemas Planetarios y Bioastronom\'ia,"High density fractured zones as an alternative mechanism for heat diffusion at Western Aphrodite Terra, Venus. Insights from geologic mapping and numerical modeling.","We are generating a detailed structural analysis of a targeted portion of an Aphrodite fracture zone in order to understand the architectural evolution through space and time and, ultimately, to derive a thermal model in order to gain insight into possible mechanisms of heat transfer on Venus. The map area (15S-20S/110E-124E), characterized by extreme density of faults, pit chains, troughs encompasses over 700,000 km2. The map area has excellent coverage by Magellan SAR data (right-look, left-look and stereo), which we employ in mapping.",Estudiante de Maestr\'ia,Sr., Poster,0,o
93,Tovar,David,University of Minnesota / Grupo de Ciencias y Astrobiolog\'ia - TITAN,"C - Educaci\'on, Divulgaci\'on y Herencia",Actividades de investigaci\'on y divulgaci\'on desarrolladas por el grupo de Ciencias Planetarias y Astrobiolog\'ia - TITAN en e per\'iodo 2012 - 2015,"EL Grupo de Ciencias Planetarias y Astrobiolog\'ia TIT\'AN, ha venido desarrollando varios proyectos en materia de investigaci\'on relacionados con temas de volcanolog\'ia planetaria, astrobiolog\'ia y caracterizaci\'on de cr\'ateres de impacto en el territorio colombiano. A nivel divulgativo el grupo ha liderado en la Universidad Nacional de Colombia la implementaci\'on de infograf\'ias y otras herramaientas educativas en torno a temas de ciencias planetarias y astrobiolog\'ia, as\'i como la creaci\'on de semilleros estudiantiles en ciudades del pa\'is como Medell\'in, Manizales, Pamplona y Bucaramanga.",Estudiante de Maestr\'ia,Sr., Poster,0,o
94,Valencia D\'iaz,David Ricardo,Universidad de Antioquia,I - Galaxias y Cosmolog\'ia,Efecto Integrado de Sachs-Wolfe en Simulaciones Cosmol\'ogicas,"La radiaci\'on c\'osmica de fondo (CMB) es un campo de radiaci\'on que permea el Universo y deber\'ia ser homog\'eneo; sin embargo diversos procesos f\'isicos inducen la formaci\'on de anisotrop\'ias en la CMB. Una de estas anisotrop\'ias es el efecto Integrado de Sachs-Wolfe (ISW) que experimentan los fotones de la CMB al cambiar su energ\'ia cuando pasan a trav\'es de regiones de alto contraste de densidad de masa asociado a estructuras no estacionarias. Dicha perturbaci\'on est\'a asociada a la evoluci\'on temporal de los pozos de potencial gravitacional que forman las Estructuras a Gran Escala y su detecci\'on puede ser evidencia directa e independiente de la presencia de energ\'ia oscura.
Se utilizaron simulaciones cosmol\'ogicas de N-cuerpos para modelar el efecto ISW tard\'io, construir mapas de las anisotrop\'ias inducidas por el mismo y estudiar la relaci\'on de las fluctuaciones de temperatura inducidas en la CMB con la evoluci\'on de los pozos de potencial gravitacional y la densidad de materia que contienen.",Estudiante de Maestr\'ia,Sr.,a Conferencia/Poster,2,o
95,Valencia Otero,Martha Liliana ,Universidad Industrial de Santander,"B - Instalaciones, Tecnolog\'ias y Ciencia de Datos, D - Fen\'omenos de Altas Energ\'ias y F\'isica Fundamental",Simulaci\'on de la componente mu\'onica en cascadas de rayos c\'osmicos para el proyecto MuTe,En el marco del proyecto MuTe (Muon Telescope - Colciencias) presentamos el estudio y simulaci\'on de las componentes de alta energ\'ia de lluvias atmosf\'ericas extensas para calcular el flujo de part\'iculas en un lugar gen\'erico y obtener la cantidad de muones que logran atravesar por completo una estructura geol\'ogica. Posteriormente se busca dise\~nar una metodolog\'ia del proyecto que resulte aplicable a cualquier lugar geogr\'afico y pueda ser utilizada en el campo de la muongraf\'ia volc\'anica.,Estudiante de Pregrado,Sra., Poster,0,a
96,Vargas Dom\'inguez,Santiago,Observatorio Astron\'omico Nacional de Colombia,E - El Sol y la Heli\'osfera,Evoluci\'on de peque\~nos elementos magn\'eticos en regiones con v\'ortices de plasma en la fot\'osfera solar,"Los avances en la instrumentaci\'on solar han llevado al uso generalizado de series de tiempo para estudiar la din\'amica de los fen\'omenos solares, especialmente a peque\~nas escalas espaciales y en tiempos muy cortos. Los procesos f\'isicos a estas escalas son importantes en la organizaci\'on y estructura de otros de mayor escala que ocurren desde la superficie hasta las capas m\'as altas de la atm\'osfera solar, en definitiva, para entender el panorama m\'as amplio de la actividad solar. 
Observaciones solares de alta resoluci\'on del telescopio en tierra (SST) y del sat\'elite Hinode recopilaron datos en diferentes filtros de una regi\'on de Sol en calma, en donde se destaca una poblaci\'on de peque\~nos elementos magn\'eticos. La regi\'on se caracteriza igualmente por la presencia de v\'ortices convectivos en el plasma fotosf\'erico.
En este trabajo se realiza un estudio de la din\'amica de la regi\'on en cuesti\'on, para analizar propiedades din\'amicas de las estructuras magn\'eticas y del movimiento del plasma.",Profesor - Investigador,Dr.,a Conferencia,1,o
97,V\'asquez Ramirez,Adriana Carolina,"Universidad de los Andes, Venezuela ","A - Astronom\'ia Fundamental, G - Estrellas y F\'isica Estelar",\'Indice de compresibilidad y estabilidad adiab\'atica de esferas anis\'otropas en Relatividad General,"Se estudi\'o, dentro del \'ambito de la Relatividad General, la relaci\'on entre la estabilidad adiab\'atica y la compresibilidad de un fluido est\'atico esf\'ericamente sim\'etrico anis\'otropo. La estabilidad adiab\'atica de estas esferas se obtuvo a trav\'es de la utilizaci\'on del criterio planteado por Bondi, en 1964. Asimismo la definici\'on del \'Indice de compresibilidad anis\'otropo se propuso a partir de la definici\'on conocida para sistemas is\'otropos . Al comparar estas dos variables no se encontr\'o una relaci\'on directa entre ellas, sin embargo en algunos modelos bar\'otropos se pudo observar que la alta compresibilidad corresponde a las zonas que indican estabilidad adiab\'atica dentro de los mismos, mientras que la compresibilidad baja corresponde a las zonas m\'as inestables. Por otro lado, se obtuvo una relaci\'on que permite hallar los valores del exponente pol\'itropo, de fluidos con ecuaci\'on de estado pol\'itropa, para los cuales una distribuci\'on con cierta densidad de energ\'ia es estable.",Estudiante de Pregrado,Sra., Poster,0,a
98,Vera-Ciro,Carlos,"UW Madison, USA",I - Galaxias y Cosmolog\'ia,Effect of radial migration on galactic disk,"I will talk about the radial migration of stars driven by recurring multi-arm spiral features in an exponential disk embedded in a dark matter halo. The spiral perturbations redistribute angular momentum within the disk and lead to substantial radial displacements of individual stars. We find that migrators are a heavily biased subset of stars with preferentially low vertical velocity dispersions. This ""provenance bias"" for migrators is not surprising in hindsight, for stars with small vertical excursions spend more time near the disk plane and thus respond more readily to non-axisymmetric perturbations. To first order, newly arrived migrators simply replace stars that have migrated off to other radii, thus inheriting the vertical bias of the latter. Our results show that migration, understood as changes in angular momentum that preserve circularity, can affect strongly the thin disk, but cast doubts on models that envision the Galactic thick disk as a relic of radial migration.",Postdoc,Dr.,a Conferencia,1,o
99,Vieira,Katherine,CIDA,"A - Astronom\'ia Fundamental, C - Educaci\'on, Divulgaci\'on y Herencia",Astrodin\'amica: una nueva l\'inea de investigaci\'on del CIDA,"Con el lanzamiento en 2008 del Venesat-1, el primer sat\'elite geoestacionario de Venezuela, las investigaciones astrom\'etricas del posicionamento de sat\'elites artificales hechas en el CIDA comenzaron a enfocarse en el mismo. Desde el 2014, el CIDA cuenta entre sus investigadores, a un especialista en mec\'anica celeste que se dedica al dise\~no de \'orbitas para sat\'elites. Todas estas circunstancias nos han permitido la apertura de una nueva l\'inea de investigaci\'on en astrodin\'amica, realizando las primeras actividades acad\'emicas destinadas a captar estudiantes interesados. En diciembre de 2014 dictamos la IV Escuela Venezolana de Astronom\'ia sobre el tema y en Agosto 2015 nuestro Programa Universitario de Astronom\'ia, con 5 semanas intensivas de clases, se extender\'a en dicho topico. El CIDA ofrece ahora una nueva l\'inea de trabajo y de oportunidades acad\'emicas a los estudiantes, tanto de f\'isica como de matem\'aticas, interesados profesionalmente en trabajar en esta \'area.",Profesor - Investigador,Dra.,a Conferencia,1,a
